Date,Y,Lag_1,Lag_2,Lag_3
2015/1/2,1,5.0125,5.0925,5.14
2015/1/5,0,5.0325,5.0125,5.0925
2015/1/6,0,4.9475,5.0325,5.0125
2015/1/7,0,4.7975,4.9475,5.0325
2015/1/8,1,4.785,4.7975,4.9475
2015/1/9,1,4.965,4.785,4.7975
2015/1/12,0,4.985,4.965,4.785
2015/1/13,0,4.9225,4.985,4.965
2015/1/14,1,4.915,4.9225,4.985
2015/1/15,0,4.935,4.915,4.9225
2015/1/16,1,4.9,4.935,4.915
2015/1/20,1,4.99,4.9,4.935
2015/1/21,1,5.005,4.99,4.9
2015/1/22,1,5.075,5.005,4.99
2015/1/23,1,5.1625,5.075,5.005
2015/1/26,0,5.1775,5.1625,5.075
2015/1/27,0,5.155,5.1775,5.1625
2015/1/28,0,4.9075,5.155,5.1775
2015/1/29,1,4.8275,4.9075,5.155
2015/1/30,0,4.945,4.8275,4.9075
2015/2/2,1,4.8,4.945,4.8275
2015/2/3,1,4.905,4.8,4.945
2015/2/4,1,5.0275,4.905,4.8
2015/2/5,1,5.04,5.0275,4.905
2015/2/6,0,5.1225,5.04,5.0275
2015/2/9,0,5.1,5.1225,5.04
2015/2/10,1,5.095,5.1,5.1225
2015/2/11,0,5.2375,5.095,5.1
2015/2/12,1,5.2025,5.2375,5.095
2015/2/13,1,5.575,5.2025,5.2375
2015/2/17,1,5.5775,5.575,5.2025
2015/2/18,0,5.595,5.5775,5.575
2015/2/19,1,5.53,5.595,5.5775
2015/2/20,1,5.545,5.53,5.595
2015/2/23,0,5.585,5.545,5.53
2015/2/24,1,5.54,5.585,5.545
2015/2/25,0,5.5775,5.54,5.585
2015/2/26,1,5.535,5.5775,5.54
2015/2/27,0,5.55,5.535,5.5775
2015/3/2,1,5.515,5.55,5.535
2015/3/3,0,5.65,5.515,5.55
2015/3/4,1,5.545,5.65,5.515
2015/3/5,1,5.6075,5.545,5.65
2015/3/6,0,5.715,5.6075,5.545
2015/3/9,1,5.6375,5.715,5.6075
2015/3/10,1,5.6525,5.6375,5.715
2015/3/11,0,5.75,5.6525,5.6375
2015/3/12,0,5.72,5.75,5.6525
2015/3/13,1,5.6675,5.72,5.75
2015/3/16,1,5.675,5.6675,5.72
2015/3/17,1,5.7425,5.675,5.6675
2015/3/18,0,5.8125,5.7425,5.675
2015/3/19,1,5.7175,5.8125,5.7425
2015/3/20,1,5.805,5.7175,5.8125
2015/3/23,0,5.8675,5.805,5.7175
2015/3/24,0,5.6775,5.8675,5.805
2015/3/25,0,5.6,5.6775,5.8675
2015/3/26,0,5.26,5.6,5.6775
2015/3/27,1,5.2425,5.26,5.6
2015/3/30,1,5.345,5.2425,5.26
2015/3/31,0,5.3675,5.345,5.2425
2015/4/1,1,5.2325,5.3675,5.345
2015/4/2,1,5.2525,5.2325,5.3675
2015/4/6,1,5.265,5.2525,5.2325
2015/4/7,1,5.4175,5.265,5.2525
2015/4/8,1,5.465,5.4175,5.265
2015/4/9,1,5.505,5.465,5.4175
2015/4/10,1,5.6325,5.505,5.465
2015/4/13,0,5.69,5.6325,5.505
2015/4/14,0,5.6375,5.69,5.6325
2015/4/15,1,5.59,5.6375,5.69
2015/4/16,0,5.6575,5.59,5.6375
2015/4/17,0,5.6225,5.6575,5.59
2015/4/20,0,5.55,5.6225,5.6575
2015/4/21,0,5.5225,5.55,5.6225
2015/4/22,1,5.515,5.5225,5.55
2015/4/23,0,5.5775,5.515,5.5225
2015/4/24,0,5.555,5.5775,5.515
2015/4/27,1,5.5075,5.555,5.5775
2015/4/28,1,5.55,5.5075,5.555
2015/4/29,0,5.5775,5.55,5.5075
2015/4/30,1,5.535,5.5775,5.55
2015/5/1,1,5.55,5.535,5.5775
2015/5/4,0,5.6875,5.55,5.535
2015/5/5,0,5.6525,5.6875,5.55
2015/5/6,1,5.5075,5.6525,5.6875
2015/5/7,1,5.525,5.5075,5.6525
