Date,Y,Lag_1
2015/1/2,5.0325,5.0125
2015/1/5,4.9475,5.0325
2015/1/6,4.7975,4.9475
2015/1/7,4.785,4.7975
2015/1/8,4.965,4.785
2015/1/9,4.985,4.965
2015/1/12,4.9225,4.985
2015/1/13,4.915,4.9225
2015/1/14,4.935,4.915
2015/1/15,4.9,4.935
2015/1/16,4.99,4.9
2015/1/20,5.005,4.99
2015/1/21,5.075,5.005
2015/1/22,5.1625,5.075
2015/1/23,5.1775,5.1625
2015/1/26,5.155,5.1775
2015/1/27,4.9075,5.155
2015/1/28,4.8275,4.9075
2015/1/29,4.945,4.8275
2015/1/30,4.8,4.945
2015/2/2,4.905,4.8
2015/2/3,5.0275,4.905
2015/2/4,5.04,5.0275
2015/2/5,5.1225,5.04
2015/2/6,5.1,5.1225
2015/2/9,5.095,5.1
2015/2/10,5.2375,5.095
2015/2/11,5.2025,5.2375
2015/2/12,5.575,5.2025
2015/2/13,5.5775,5.575
2015/2/17,5.595,5.5775
2015/2/18,5.53,5.595
2015/2/19,5.545,5.53
2015/2/20,5.585,5.545
2015/2/23,5.54,5.585
2015/2/24,5.5775,5.54
2015/2/25,5.535,5.5775
2015/2/26,5.55,5.535
2015/2/27,5.515,5.55
2015/3/2,5.65,5.515
2015/3/3,5.545,5.65
2015/3/4,5.6075,5.545
2015/3/5,5.715,5.6075
2015/3/6,5.6375,5.715
2015/3/9,5.6525,5.6375
2015/3/10,5.75,5.6525
2015/3/11,5.72,5.75
2015/3/12,5.6675,5.72
2015/3/13,5.675,5.6675
2015/3/16,5.7425,5.675
2015/3/17,5.8125,5.7425
2015/3/18,5.7175,5.8125
2015/3/19,5.805,5.7175
2015/3/20,5.8675,5.805
2015/3/23,5.6775,5.8675
2015/3/24,5.6,5.6775
2015/3/25,5.26,5.6
2015/3/26,5.2425,5.26
2015/3/27,5.345,5.2425
2015/3/30,5.3675,5.345
2015/3/31,5.2325,5.3675
2015/4/1,5.2525,5.2325
2015/4/2,5.265,5.2525
2015/4/6,5.4175,5.265
2015/4/7,5.465,5.4175
2015/4/8,5.505,5.465
2015/4/9,5.6325,5.505
2015/4/10,5.69,5.6325
2015/4/13,5.6375,5.69
2015/4/14,5.59,5.6375
2015/4/15,5.6575,5.59
2015/4/16,5.6225,5.6575
2015/4/17,5.55,5.6225
2015/4/20,5.5225,5.55
2015/4/21,5.515,5.5225
2015/4/22,5.5775,5.515
2015/4/23,5.555,5.5775
2015/4/24,5.5075,5.555
2015/4/27,5.55,5.5075
2015/4/28,5.5775,5.55
2015/4/29,5.535,5.5775
2015/4/30,5.55,5.535
2015/5/1,5.6875,5.55
2015/5/4,5.6525,5.6875
2015/5/5,5.5075,5.6525
2015/5/6,5.525,5.5075
2015/5/7,5.6225,5.525
2015/5/8,5.2075,5.6225
2015/5/11,5.1575,5.2075
2015/5/12,5.2075,5.1575
2015/5/13,5.2375,5.2075
2015/5/14,5.3225,5.2375
2015/5/15,5.325,5.3225
2015/5/18,5.3175,5.325
2015/5/19,5.26,5.3175
2015/5/20,5.26,5.26
2015/5/21,5.2225,5.26
2015/5/22,5.215,5.2225
2015/5/26,5.1825,5.215
2015/5/27,5.46,5.1825
2015/5/28,5.535,5.46
2015/5/29,5.5325,5.535
2015/6/1,5.595,5.5325
2015/6/2,5.485,5.595
2015/6/3,5.425,5.485
2015/6/4,5.5225,5.425
2015/6/5,5.565,5.5225
2015/6/8,5.4375,5.565
2015/6/9,5.465,5.4375
2015/6/10,5.3675,5.465
2015/6/11,5.425,5.3675
2015/6/12,5.2775,5.425
2015/6/15,5.2675,5.2775
2015/6/16,5.3325,5.2675
2015/6/17,5.395,5.3325
2015/6/18,5.485,5.395
2015/6/19,5.4675,5.485
2015/6/22,5.445,5.4675
2015/6/23,5.305,5.445
2015/6/24,5.2525,5.305
2015/6/25,5.2925,5.2525
2015/6/26,5.185,5.2925
2015/6/29,5.03,5.185
2015/6/30,5.0275,5.03
2015/7/1,5.1,5.0275
2015/7/2,5.105,5.1
2015/7/6,5.0425,5.105
2015/7/7,4.9475,5.0425
2015/7/8,4.9125,4.9475
2015/7/9,4.8525,4.9125
2015/7/10,4.9375,4.8525
2015/7/13,4.97,4.9375
2015/7/14,4.9725,4.97
2015/7/15,4.9375,4.9725
2015/7/16,5.0475,4.9375
2015/7/17,5.0175,5.0475
2015/7/20,4.925,5.0175
2015/7/21,4.9475,4.925
2015/7/22,4.8525,4.9475
2015/7/23,4.9125,4.8525
2015/7/24,4.855,4.9125
2015/7/27,4.8275,4.855
2015/7/28,4.9325,4.8275
2015/7/29,4.9925,4.9325
2015/7/30,5.005,4.9925
2015/7/31,4.9875,5.005
2015/8/3,5.0725,4.9875
2015/8/4,5.0925,5.0725
2015/8/5,5.145,5.0925
2015/8/6,5.1125,5.145
2015/8/7,5.745,5.1125
2015/8/10,5.945,5.745
2015/8/11,5.915,5.945
2015/8/12,5.93,5.915
2015/8/13,5.88,5.93
2015/8/14,5.885,5.88
2015/8/17,5.8475,5.885
2015/8/18,5.77,5.8475
2015/8/19,5.7475,5.77
2015/8/20,5.54,5.7475
2015/8/21,5.3675,5.54
2015/8/24,5.1775,5.3675
2015/8/25,5.07,5.1775
2015/8/26,5.4525,5.07
2015/8/27,5.6575,5.4525
2015/8/28,5.6825,5.6575
2015/8/31,5.62,5.6825
2015/9/1,5.39,5.62
2015/9/2,5.5525,5.39
2015/9/3,5.5675,5.5525
2015/9/4,5.4375,5.5675
2015/9/8,5.67,5.4375
2015/9/9,5.5575,5.67
2015/9/10,5.645,5.5575
2015/9/11,5.6625,5.645
2015/9/14,5.6725,5.6625
2015/9/15,5.735,5.6725
2015/9/16,5.775,5.735
2015/9/17,5.8275,5.775
2015/9/18,5.8225,5.8275
2015/9/21,5.8825,5.8225
2015/9/22,5.7225,5.8825
2015/9/23,5.75,5.7225
2015/9/24,5.86,5.75
2015/9/25,5.9025,5.86
2015/9/28,5.825,5.9025
2015/9/29,5.9275,5.825
2015/9/30,6.1625,5.9275
2015/10/1,6.0425,6.1625
2015/10/2,6.2,6.0425
2015/10/5,6.355,6.2
2015/10/6,6.4375,6.355
2015/10/7,6.505,6.4375
2015/10/8,6.5425,6.505
2015/10/9,6.5175,6.5425
2015/10/12,6.5875,6.5175
2015/10/13,6.6,6.5875
2015/10/14,6.84,6.6
2015/10/15,6.8575,6.84
2015/10/16,6.965,6.8575
2015/10/19,6.9525,6.965
2015/10/20,6.9425,6.9525
2015/10/21,6.8525,6.9425
2015/10/22,7.1,6.8525
2015/10/23,7.1475,7.1
2015/10/26,7.115,7.1475
2015/10/27,7.11,7.115
2015/10/28,7.1675,7.11
2015/10/29,6.92,7.1675
2015/10/30,7.0925,6.92
2015/11/2,7.175,7.0925
2015/11/3,7.125,7.175
2015/11/4,7.0075,7.125
2015/11/5,6.9275,7.0075
2015/11/6,7.8875,6.9275
2015/11/9,7.8525,7.8875
2015/11/10,7.7025,7.8525
2015/11/11,7.6275,7.7025
2015/11/12,7.6,7.6275
2015/11/13,7.45,7.6
2015/11/16,7.6,7.45
2015/11/17,7.6,7.6
2015/11/18,7.7575,7.6
2015/11/19,7.78,7.7575
2015/11/20,7.8475,7.78
2015/11/23,7.73,7.8475
2015/11/24,7.7925,7.73
2015/11/25,7.7825,7.7925
2015/11/27,7.8475,7.7825
2015/11/30,7.93,7.8475
2015/12/1,8.1875,7.93
2015/12/2,8.125,8.1875
2015/12/3,8.1075,8.125
2015/12/4,8.4375,8.1075
2015/12/7,8.2775,8.4375
2015/12/8,8.39,8.2775
2015/12/9,8.1775,8.39
2015/12/10,8.245,8.1775
2015/12/11,8.1225,8.245
2015/12/14,8.1425,8.1225
2015/12/15,8.2425,8.1425
2015/12/16,8.2925,8.2425
2015/12/17,8.1675,8.2925
2015/12/18,8.035,8.1675
2015/12/21,8.225,8.035
2015/12/22,8.2325,8.225
2015/12/23,8.265,8.2325
2015/12/24,8.2925,8.265
2015/12/28,8.285,8.2925
2015/12/29,8.42,8.285
2015/12/30,8.3475,8.42
2015/12/31,8.24,8.3475
2016/1/4,8.0925,8.24
2016/1/5,8.2225,8.0925
2016/1/6,7.8825,8.2225
2016/1/7,7.57,7.8825
2016/1/8,7.4075,7.57
2016/1/11,7.42,7.4075
2016/1/12,7.545,7.42
2016/1/13,7.315,7.545
2016/1/14,7.1675,7.315
2016/1/15,6.7775,7.1675
2016/1/19,6.8325,6.7775
2016/1/20,6.87,6.8325
2016/1/21,6.95,6.87
2016/1/22,7.1125,6.95
2016/1/25,7.105,7.1125
2016/1/26,7.175,7.105
2016/1/27,7.09,7.175
2016/1/28,7.0125,7.09
2016/1/29,7.3225,7.0125
2016/2/1,7.325,7.3225
2016/2/2,7.015,7.325
2016/2/3,7.05,7.015
2016/2/4,7.0525,7.05
2016/2/5,6.6075,7.0525
2016/2/8,6.305,6.6075
2016/2/9,6.3725,6.305
2016/2/10,6.3575,6.3725
2016/2/11,6.325,6.3575
2016/2/12,6.4325,6.325
2016/2/16,6.7475,6.4325
2016/2/17,6.915,6.7475
2016/2/18,7.51,6.915
2016/2/19,7.61,7.51
2016/2/22,7.88,7.61
2016/2/23,7.9,7.88
2016/2/24,7.955,7.9
2016/2/25,7.9725,7.955
2016/2/26,7.92,7.9725
2016/2/29,7.84,7.92
2016/3/1,8.1875,7.84
2016/3/2,8.235,8.1875
2016/3/3,8.1625,8.235
2016/3/4,8.1375,8.1625
2016/3/7,8.085,8.1375
2016/3/8,7.9375,8.085
2016/3/9,7.9325,7.9375
2016/3/10,7.92,7.9325
2016/3/11,8.055,7.92
2016/3/14,8.075,8.055
2016/3/15,8.035,8.075
2016/3/16,8.275,8.035
2016/3/17,8.205,8.275
2016/3/18,8.4525,8.205
2016/3/21,8.4775,8.4525
2016/3/22,8.4625,8.4775
2016/3/23,8.6075,8.4625
2016/3/24,8.62,8.6075
2016/3/28,8.7075,8.62
2016/3/29,8.8475,8.7075
2016/3/30,8.94,8.8475
2016/3/31,8.9075,8.94
2016/4/1,9.0375,8.9075
2016/4/4,8.95,9.0375
2016/4/5,8.9375,8.95
2016/4/6,8.95,8.9375
2016/4/7,8.8575,8.95
2016/4/8,8.915,8.8575
2016/4/11,8.97,8.915
2016/4/12,8.96,8.97
2016/4/13,9.185,8.96
2016/4/14,9.21,9.185
2016/4/15,9.2825,9.21
2016/4/18,9.2425,9.2825
2016/4/19,9.0775,9.2425
2016/4/20,9.1125,9.0775
2016/4/21,9.1025,9.1125
2016/4/22,9.0675,9.1025
2016/4/25,9.1125,9.0675
2016/4/26,9.12,9.1125
2016/4/27,9.3275,9.12
2016/4/28,9.05,9.3275
2016/4/29,8.8825,9.05
2016/5/2,9,8.8825
2016/5/3,8.8925,9
2016/5/4,8.69,8.8925
2016/5/5,8.7425,8.69
2016/5/6,8.8325,8.7425
2016/5/9,8.82,8.8325
2016/5/10,8.99,8.82
2016/5/11,9.015,8.99
2016/5/12,8.8925,9.015
2016/5/13,10.245,8.8925
2016/5/16,10.5475,10.245
2016/5/17,10.57,10.5475
2016/5/18,10.84,10.57
2016/5/19,10.8875,10.84
2016/5/20,11.0825,10.8875
2016/5/23,11.1,11.0825
2016/5/24,11.34,11.1
2016/5/25,11.2925,11.34
2016/5/26,11.4125,11.2925
2016/5/27,11.475,11.4125
2016/5/31,11.68,11.475
2016/6/1,11.7025,11.68
2016/6/2,11.785,11.7025
2016/6/3,11.62,11.785
2016/6/6,11.56,11.62
2016/6/7,11.5825,11.56
2016/6/8,11.545,11.5825
2016/6/9,11.845,11.545
2016/6/10,11.55,11.845
2016/6/13,11.6975,11.55
2016/6/14,11.72,11.6975
2016/6/15,11.84,11.72
2016/6/16,11.8875,11.84
2016/6/17,11.68,11.8875
2016/6/20,11.89,11.68
2016/6/21,11.8175,11.89
2016/6/22,11.8075,11.8175
2016/6/23,12.1225,11.8075
2016/6/24,11.4325,12.1225
2016/6/27,11.31,11.4325
2016/6/28,11.475,11.31
2016/6/29,11.6625,11.475
2016/6/30,11.7525,11.6625
2016/7/1,11.665,11.7525
2016/7/5,11.8375,11.665
2016/7/6,11.9125,11.8375
2016/7/7,12.2225,11.9125
2016/7/8,12.7125,12.2225
